from_id,to_id,cost,line
1190,1191,3,徒歩
1190,1192,12,徒歩
1190,1291,14,徒歩
1190,1506,16,徒歩
1191,1192,12,徒歩
1191,1291,16,徒歩
1191,1506,18,徒歩
1192,1291,10,徒歩
1192,1389,20,徒歩
1192,1506,19,徒歩
1193,1194,4,徒歩
1193,1375,17,徒歩
1193,1377,2,JR総武線
1193,1378,19,徒歩
1193,1505,18,徒歩
1193,1719,13,徒歩
1193,1720,10,徒歩
1194,1375,20,徒歩
1194,1505,16,徒歩
1194,1719,14,徒歩
1194,1720,13,徒歩
1196,1197,2,徒歩
1198,1296,3,JR京浜東北線
1198,1296,7,JR山手線
1198,1407,10,徒歩
1198,1458,14,徒歩
1199,1565,1,京王井の頭線
1199,1565,15,徒歩
1199,1733,1,京王井の頭線
12,1203,10,JR高崎線
12,1203,4,JR宇都宮線
12,139,2,JR京浜東北線
12,347,12,徒歩
12,536,2,JR宇都宮線
12,536,3,JR京浜東北線
12,536,3,JR高崎線
120,1161,1,京王井の頭線
120,1161,13,徒歩
120,1231,4,京王井の頭線
120,142,12,徒歩
120,1729,2,京王井の頭線
120,798,1,京王井の頭線
120,798,10,徒歩
120,905,3,京王井の頭線
120,966,15,徒歩
120,992,2,京王井の頭線
120,992,20,徒歩
1200,1719,13,徒歩
1200,1720,15,徒歩
1201,1516,8,JR内房線
1202,1404,8,JR内房線
1203,1607,25,JR高崎線
1203,1607,8,JR宇都宮線
1207,1721,2,京浜急行本線
121,1547,5,西武狭山線
121,1561,6,西武狭山線
1210,1211,13,徒歩
1210,1211,3,横浜新都市交通
1210,1639,15,徒歩
1210,1639,4,横浜新都市交通
1215,1216,3,徒歩
1215,1217,5,徒歩
1216,1217,6,徒歩
1219,1408,18,徒歩
1219,1567,2,銚子電鉄線
1219,1567,9,徒歩
122,490,9,JR御殿場線
1220,1358,17,徒歩
1220,1359,17,徒歩
1220,1360,18,徒歩
1220,1366,10,徒歩
1220,1367,7,徒歩
1220,1375,17,徒歩
1220,1376,13,徒歩
1220,1377,13,徒歩
1220,1378,16,徒歩
1221,1419,11,JR高崎線
1222,1343,19,徒歩
1222,1343,2,JR横浜線
1224,1738,20,徒歩
1224,1738,5,高尾登山電鉄線
1224,1739,7,徒歩
1225,1226,3,徒歩
1225,1490,19,徒歩
1226,1490,19,徒歩
1227,1374,5,西武池袋線
1228,1379,11,小田急小田原線
1229,1230,2,徒歩
1229,1231,4,徒歩
1229,1232,2,徒歩
1229,1233,4,徒歩
1229,1365,16,徒歩
123,1042,7,徒歩
123,1043,18,徒歩
123,371,1,東武東上本線
123,371,11,徒歩
123,542,2,東武東上本線
123,839,11,徒歩
1230,1231,4,徒歩
1230,1232,1,徒歩
1230,1233,3,徒歩
1230,1365,16,徒歩
1231,1232,4,徒歩
1231,1233,4,徒歩
1231,1365,1,京王井の頭線
1231,1365,13,徒歩
1232,1233,2,徒歩
1232,1365,16,徒歩
1233,1365,15,徒歩
1236,1647,15,徒歩
1236,1647,2,京浜急行大師線
1238,1239,1,徒歩
1239,1665,5,小田急江ノ島線
124,1448,15,徒歩
1240,1241,12,徒歩
1240,1263,20,徒歩
1240,1264,11,徒歩
1240,1324,2,湘南モノレール
1240,1324,9,徒歩
1240,1443,13,徒歩
1241,1264,14,徒歩
1241,1324,16,徒歩
1241,1771,14,徒歩
1241,1771,4,江ノ島電鉄線
1242,1243,13,徒歩
1242,1243,3,湘南モノレール
1242,1581,12,湘南モノレール
1244,1376,20,徒歩
1244,1377,20,徒歩
1244,1378,20,徒歩
1245,1338,5,JR東海道本線
1246,1247,4,徒歩
1246,1517,16,徒歩
1246,1605,10,徒歩
1246,1606,15,徒歩
1246,1686,19,徒歩
1246,1687,18,徒歩
1247,1517,18,徒歩
1247,1605,9,徒歩
1247,1606,12,徒歩
1247,1686,19,徒歩
1247,1687,18,徒歩
1248,1749,16,徒歩
1248,1749,2,東急田園都市線
125,1334,6,JR相模線
125,445,3,JR相模線
1250,1747,18,徒歩
1250,1747,2,新京成電鉄線
1252,1280,13,徒歩
1252,1281,17,徒歩
1252,1283,14,徒歩
1252,1527,13,徒歩
1252,1528,5,都電荒川線
1252,1528,9,徒歩
1252,1545,15,徒歩
1252,1703,4,都電荒川線
1252,1703,8,徒歩
1253,1611,5,JR京葉線
1255,1265,14,徒歩
1256,1257,1,徒歩
1256,1258,2,徒歩
1257,1258,1,徒歩
1258,1419,15,JR高崎線
1258,1521,11,JR高崎線
1259,1260,2,徒歩
1259,1303,16,徒歩
1259,1604,13,徒歩
1259,1604,2,日暮里・舎人ライナー
1259,1617,14,徒歩
1259,1617,2,日暮里・舎人ライナー
126,1536,17,徒歩
126,521,17,徒歩
126,522,15,徒歩
126,523,15,徒歩
126,523,4,東急大井町線
126,776,15,徒歩
126,776,4,東急大井町線
1260,1303,18,徒歩
1260,1604,14,徒歩
1260,1617,13,徒歩
1263,1324,12,徒歩
1263,1324,3,湘南モノレール
1263,1581,16,徒歩
1263,1581,4,湘南モノレール
1264,1324,19,徒歩
1264,1443,20,徒歩
1264,1772,4,小田急江ノ島線
1265,1371,2,JR青梅線
1267,1268,20,徒歩
1267,1363,20,徒歩
1267,1466,13,徒歩
1268,1363,8,徒歩
1268,1708,20,徒歩
1268,1709,14,徒歩
1268,1710,14,徒歩
1268,1711,17,徒歩
1268,1712,19,徒歩
127,1575,4,JR総武線
127,1760,16,徒歩
127,225,7,徒歩
127,933,3,JR総武線
127,953,18,徒歩
1274,1736,4,京王高尾線
1276,1277,3,徒歩
1276,1351,19,徒歩
1277,1351,20,徒歩
1277,1351,5,多摩モノレール
1278,1306,8,小田急小田原線
1278,1776,8,小田急小田原線
1279,1649,1,東武東上本線
1279,1649,17,徒歩
128,606,10,JR成田線我孫子支線
128,766,11,JR成田線我孫子支線
1280,1281,5,徒歩
1280,1283,1,徒歩
1280,1527,16,徒歩
1280,1703,6,徒歩
1281,1283,4,徒歩
1281,1703,10,徒歩
1283,1527,17,徒歩
1283,1703,3,都電荒川線
1283,1703,7,徒歩
1285,1589,3,小田急小田原線
1286,1465,1,京浜急行本線
1286,1465,15,徒歩
1287,1370,10,徒歩
1287,1370,2,横浜新都市交通
129,131,9,JR成田線
129,1411,14,JR成田線
1291,1389,16,徒歩
1291,1505,15,徒歩
1291,1506,11,徒歩
1292,1444,1,東急東横線
1293,1667,20,徒歩
1293,1668,3,東急田園都市線
1293,1699,4,東急田園都市線
1295,1463,5,西武新宿線
1295,1559,2,西武新宿線
1296,1458,19,徒歩
1297,1552,15,徒歩
1297,1552,3,JR京浜東北線
1297,1552,5,JR山手線
1297,1553,15,徒歩
1297,1554,15,徒歩
1297,1604,19,徒歩
1297,1732,4,JR山手線
1298,1659,20,徒歩
1298,1673,11,徒歩
1298,1673,3,江ノ島電鉄線
13,1329,3,相模鉄道本線
130,1249,18,JR成田線
130,554,12,JR成田線
1300,1649,4,東武東上本線
1301,1302,3,徒歩
1301,1303,8,徒歩
1301,1304,2,徒歩
1301,1480,8,徒歩
1301,1481,12,徒歩
1301,1482,19,徒歩
1302,1303,10,徒歩
1302,1304,2,徒歩
1302,1480,5,徒歩
1302,1481,11,徒歩
1302,1482,18,徒歩
1303,1304,4,都電荒川線
1303,1304,9,徒歩
1303,1480,15,徒歩
1303,1481,20,徒歩
1303,1604,14,徒歩
1304,1480,3,都電荒川線
1304,1480,7,徒歩
1304,1481,12,徒歩
1304,1482,19,徒歩
1305,1306,6,徒歩
1305,1328,19,JR横浜線
1305,1667,10,JR横浜線
1306,1330,4,小田急小田原線
1308,1309,2,徒歩
131,1086,13,JR成田線
1310,1764,3,JR青梅線
1312,1570,4,北総鉄道
1314,1504,3,JR宇都宮線
1316,1402,4,西武多摩川線
1317,1318,20,徒歩
1317,1755,16,徒歩
1319,1589,3,小田急小田原線
132,147,17,徒歩
132,148,1,西武新宿線
132,148,16,徒歩
132,1752,18,徒歩
132,1752,2,西武新宿線
132,1753,19,徒歩
132,1754,17,徒歩
1320,1441,3,京王線
1320,1743,4,京王線
1321,1409,6,JR川越線
1321,1544,5,JR川越線
1322,1586,8,秩父本線
1323,1683,16,徒歩
1323,1752,19,徒歩
1323,1753,16,徒歩
1323,1754,17,徒歩
1323,1754,2,JR山手線
1323,1759,17,徒歩
1324,1443,14,徒歩
1325,1326,3,徒歩
1328,1343,4,JR横浜線
133,1000,3,東武東上本線
133,500,3,徒歩
133,763,2,東武東上本線
1331,1707,14,徒歩
1331,1707,4,伊豆箱根鉄道大雄山線
1332,1515,8,JR中央本線
1332,1737,21,JR中央本線
1336,1496,12,徒歩
1336,1496,3,千葉都市モノレール1号線
134,1722,3,JR久留里線
134,647,7,JR久留里線
1340,1499,7,東急多摩川線
1340,1503,16,徒歩
1341,1788,3,JR南武線
1342,1535,2,JR南武線
1342,1592,3,JR南武線
1344,1383,3,JR南武線
1344,1387,4,JR南武線
1345,1511,11,徒歩
1345,1511,3,江ノ島電鉄線
1345,1512,14,徒歩
1345,1513,15,徒歩
1347,1685,14,徒歩
1347,1685,3,東急池上線
1348,1678,18,徒歩
1348,1678,2,JR根岸線
1348,1679,20,徒歩
1349,1432,2,西武池袋線
1349,1432,20,徒歩
1353,1676,3,JR相模線
1358,1359,3,徒歩
1358,1360,3,徒歩
1358,1405,10,徒歩
1359,1360,1,徒歩
1359,1405,13,徒歩
136,1032,13,徒歩
136,1032,3,東急世田谷線
