id,name,category,latitude,longitude,line
219,京急田浦,ハンバーガー,35.300998,139.625213,京浜急行本線
220,京急蒲田,焼肉,35.560425,139.723501,京浜急行空港線
221,京急蒲田,しゃぶしゃぶ,35.560522,139.723445,京浜急行本線
222,京急長沢,うなぎ,35.205447,139.674127,京浜急行久里浜線
223,京急鶴見,イタリアン,35.506667,139.677586,京浜急行本線
224,京成上野,無国籍料理,35.711306,139.773514,京成本線
225,京成中山,甘味処,35.716948,139.94438,京成本線
226,京成佐倉,天ぷら,35.725204,140.229861,京成本線
227,京成八幡,かに・えび,35.723861,139.928167,京成本線
228,京成千葉,カレー,35.61162,140.114353,京成千葉線
229,京成大久保,かに・えび,35.685924,140.048605,京成本線
230,京成大和田,寿司,35.712359,140.10863,京成本線
231,京成小岩,お好み焼き・もんじゃ焼き,35.742214,139.883612,京成本線
232,京成幕張,もつ鍋・ホルモン,35.660565,140.056003,京成千葉線
233,京成幕張本郷,ラーメン,35.672916,140.041674,京成千葉線
234,京成成田,パスタ・ピザ,35.776271,140.315463,京成本線
235,京成曳舟,懐石料理・精進料理,35.71864,139.820279,京成押上線
236,京成津田沼,沖縄料理,35.683644,140.024846,京成千葉線/京成本線/新京成電鉄線
237,京成稲毛,てんぷら,35.637248,140.085708,京成千葉線
238,京成立石,甘味処,35.738189,139.848161,京成押上線
239,京成臼井,中華料理・飲茶・点心・餃子,35.730025,140.180803,京成本線
240,京成船橋,甘味処,35.699963,139.984936,京成本線
241,京成西船,しゃぶしゃぶ,35.711691,139.958843,京成本線
242,京成酒々井,沖縄料理,35.736916,140.270177,京成本線
243,京成金町,フレンチ,35.768448,139.870352,京成金町線
244,京成関屋,その他エスニック,35.743965,139.811847,京成本線
245,京成高砂,無国籍料理,35.750871,139.86659,京成押上線/京成本線/京成金町線/北総鉄道
246,京橋,スイーツ,35.676797,139.770169,東京メトロ銀座線
247,京王よみうりランド,ハンバーガー,35.632963,139.517201,京王相模原線
248,京王八王子,串焼き・串揚げ,35.658048,139.342979,京王線
249,京王堀之内,とんかつ,35.624477,139.400322,京王相模原線
250,京王多摩センター,スイーツ,35.625222,139.424165,京王相模原線
251,京王多摩川,中華料理・飲茶・点心・餃子,35.643942,139.536163,京王相模原線
252,京王永山,牛丼・定食・丼もの,35.630253,139.448167,京王相模原線
253,京王片倉,沖縄料理,35.644359,139.336963,京王高尾線
